uid,activity_sector,PREVIOUS_DEP,JOB_DEP,JOB_DESCRIPTION,type_of_contract,Occupational_status,job_condition,employer_type,WORKING_HOURS,employee_count
48874,"FZ","57","57","542a","CDI","O","P","ct_9",1311,"tr_1"
48876,"QB","42","69","434a","CDI","O","C","ct_8",1828,"tr_1"
48877,"NZ","30","30","684a","CDI","O","P","ct_9",455,"tr_5"
48882,"KZ","92","75","373a","CDI","O","C","ct_9",1820,"tr_6"
48893,"TZ","63","63","563a","CDI","O","N","ct_7",472,"tr_0"
48915,"QB","35","35","676a","AUT","X","P","ct_8",1352,"tr_3"
48916,"QA","03","03","526a","CDI","O","P","ct_9",1097,"tr_6"
48923,"GZ","45","45","653a","CDI","O","C","ct_9",1313,"tr_5"
48924,"QB","77","77","543e","CDI","O","P","ct_8",910,"tr_5"
48937,"TZ","13","13","563c","CDI","O","N","ct_7",745,"tr_1"
48939,"GZ","62","59","477c","CDI","O","C","ct_9",1189,"tr_4"
48940,"NZ","94","94","684a","CDI","O","P","ct_8",3000,"tr_1"
48941,"GZ","38","38","344d","CDI","O","P","ct_9",1261,"tr_1"
48945,"OZ","62","62","333e","CDI","O","C",NA,152,NA
48948,"QB","83","83","563b","AUT","X","C","ct_8",1699,"tr_0"
48968,"QB","69","69","526a","CDI","O","C","ct_8",1820,"tr_4"
48971,"PZ","68","68","523b","CDI","O","C","ct_1",1820,"tr_6"
49022,"CJ","33","33","380a","CDI","O","C","ct_9",1782,"tr_1"
49023,"NZ","65","64","684a","CDI","O","P","ct_9",1265,"tr_4"
49024,"QB","50","50","563a","CDI","O","N","ct_7",1124,"tr_0"
49040,"GZ","87","87","691b","CDI","O","C","ct_9",2087,"tr_2"
49052,"CA","51","51","691e","CDI","O","C","ct_9",1508,"tr_6"
49065,"FZ","46","46","621b","CDI","O","C","ct_9",266,"tr_4"
49076,"CA","14","14","674c","CDI","O","C","ct_9",1820,"tr_5"
49101,"GZ","59","59","554a","CDI","O","C","ct_9",1820,"tr_6"
49121,"FZ","64","64","477b","CDI","O","C","ct_9",1793,"tr_4"
49127,"QB","68","68","525d","CDI","O","C","ct_9",647,"tr_4"
49156,"QA","71","71","488a","CDI","O","C","ct_8",607,"tr_5"
49162,"NZ","11","11","486e","CDI","O","C","ct_9",1453,"tr_2"
49169,"HZ","93","93","653a","CDI","O","C","ct_9",1589,"tr_3"
49188,"CA","53","53","674b","CDI","O","C","ct_9",456,"tr_5"
49201,"PZ",NA,NA,"525b","CDI","O","P","ct_8",1014,"tr_4"
49215,"QB","06","06","526a","CDI","O","C","ct_8",834,"tr_5"
49225,"NZ","95","75","676a","TTP","O","C","ct_9",1143,"tr_5"
49229,"QB","31","31","563a","AUT","O","C","ct_2",2148,"tr_6"
49258,"GZ","34","34","552a","CDI","O","C","ct_9",1617,"tr_5"
49289,"FZ","70","49","634b","CDI","O","C","ct_9",192,"tr_2"
49303,"PZ","62","62","422c","CDI","O","C","ct_8",1820,"tr_4"
49306,"QB","29","29","525d","CDI","O","P","ct_8",1626,"tr_4"
49308,"CH","74","74","626b","CDI","O","C","ct_9",1686,"tr_3"
49309,"QA","31","31","525d","CDI","O","P","ct_8",910,"tr_5"
49330,"CL","49","49","652a","CDI","O","C","ct_9",1561,"tr_6"
49332,"QB","82","47","563a","CDI","O","N","ct_8",1388,"tr_4"
49336,"EZ","93","92","651a","CDI","O","C","ct_9",1820,"tr_5"
49340,"CH","67","67","632a","CDI","O","C","ct_9",2028,"tr_2"
49342,"PZ","75","75","621f","CDI","O","P","ct_2",2741,"tr_4"
49346,"GZ","68","68","551a","CDI","O","P","ct_9",1635,"tr_3"
49357,"QA","35","35","344a","CDI","O","C","ct_8",2407,"tr_5"
49358,"QA","78","78","431f","CDI","O","C","ct_8",1820,"tr_5"
49361,"QA","59","59","525d","CDI","O","C","ct_3",1831,"tr_6"
49366,"MA","34","34","543b","CDI","O","C","ct_8",1605,"tr_6"
49375,"CH","42","42","652a","CDI","O","C","ct_9",1356,"tr_3"
49377,"CH","86","86","624f","CDI","O","C","ct_9",368,"tr_3"
49383,"CI","33","33","473c","CDI","O","C","ct_9",1066,"tr_6"
49395,"QB","68","68","563b","CDI","O","C","ct_8",1577,"tr_6"
49397,"CH","88","88","634b","CDI","O","P","ct_9",1214,"tr_2"
49401,"QB","59","59","543b","CDI","O","P","ct_8",555,"tr_2"
49421,"CM","39","39","673c","CDI","O","C","ct_9",498,"tr_1"
49427,"QB","38","38","525d","CDI","O","P","ct_8",1648,"tr_5"
49431,"QA","11","11","526a","CDI","O","C","ct_9",1999,"tr_6"
49437,"NZ","61","61","652a","TTP","O","C","ct_9",1906,"tr_1"
49454,"PZ","59","59","386b","CDI","O","C","ct_9",903,"tr_2"
49461,"LZ","31","31","676e","CDI","O","P","ct_9",684,"tr_1"
49465,"OZ","91","91","524c","CDI","O","C",NA,304,NA
49467,"OZ","91","91","524c","CDD","O","C","ct_2",1743,"tr_6"
49477,"NZ","95","92","684a","CDI","O","C","ct_9",1965,"tr_2"
49482,"CE","95","92","484a","CDI","O","C","ct_9",1757,"tr_6"
49499,"EZ","57","57","684b","CDI","O","P","ct_5",868,"tr_4"
49503,"CG","49","49","628g","CDI","O","C","ct_9",1934,"tr_5"
49509,"QA","92","92","433a","CDI","O","P","ct_9",1820,"tr_1"
49515,"CC","81","31","675c","CDI","O","C","ct_9",1603,"tr_3"
49519,"QB","83","83","525d","CDI","O","C","ct_8",1812,"tr_4"
49525,"IZ","33","33","561b","CDI","O","C","ct_9",1294,"tr_1"
49529,"QA","68","68","525d","CDI","O","C","ct_8",1902,"tr_3"
49531,"NZ","27","27","674d","TTP","O","C","ct_9",1704,"tr_1"
49533,"FZ","02","02","681b","CDI","O","C","ct_9",1416,"tr_2"
49534,"RZ","11","11","691b","CDI","O","C","ct_9",2066,"tr_4"
49556,"PZ","31","31","461b","CDI","O","C","ct_8",965,"tr_3"
49566,"MC","61","61","433a","CDI","O","C","ct_9",1845,"tr_1"
49574,"NZ","80","80","676c","CDI","O","C","ct_9",1157,"tr_5"
49576,"QB","39","39","526a","CDI","O","P","ct_3",1365,"tr_3"
49588,"HZ","33","33","641a","CDI","O","C","ct_9",2116,"tr_4"
49605,"QA","13","13","526b","CDI","O","C","ct_9",1316,"tr_1"
49607,"HZ","37","45","477c","CDI","O","C","ct_9",1820,"tr_3"
49629,"CH","25","25","543h","CDI","O","P","ct_9",427,"tr_1"
49633,"GZ","77","77","672a","CDI","O","C","ct_9",1788,"tr_1"
49635,"KZ","26","26","684a","CDI","O","P","ct_9",1335,"tr_1"
49639,"CG","26","26","673b","CDI","O","C","ct_9",459,"tr_3"
49644,"GZ","42","42","641b","CDI","O","P","ct_9",966,"tr_1"
49656,"HZ",NA,NA,"451a","CDI","O","C","ct_9",1821,"tr_5"
49668,"CA","72","72","625d","CDI","O","C","ct_9",304,"tr_6"
49669,"FZ","85","85","373d","CDI","O","C","ct_9",130,"tr_3"
49671,"JC","87","87","627f","CDI","O","C","ct_9",1518,"tr_1"
49682,"FZ","64","64","632g","CDI","O","C","ct_6",1673,"tr_1"
49685,"GZ","34","34","554e","CDI","O","C","ct_9",1642,"tr_1"
49694,"QB","04","04","526a","CDI","O","C","ct_8",1820,"tr_4"
49707,"NZ","59","59","684a","CDI","O","C",NA,680,"tr_3"
49720,"HZ","38","38","641b","CDI","O","C","ct_9",1203,"tr_6"
49754,"IZ","77","91","461f","CDI","O","C","ct_9",1887,"tr_4"
49758,"NZ","32","32","691e","CDI","O","C","ct_8",1854,"tr_5"
49762,"NZ","93","92","684a","CDI","O","C","ct_9",2028,"tr_1"
49764,"CA","72","72","541d","CDI","O","P","ct_9",864,"tr_6"
49768,"NZ","57","57","632g","TTP","O","N","ct_9",1489,"tr_1"
49781,"BZ","17","17","621g","CDI","O","C","ct_9",458,"tr_1"
49783,"CA","73","73","554a","CDI","O","C","ct_9",1771,"tr_3"
49819,"QB","24","24","563b","CDI","O","N","ct_7",1696,"tr_1"
49830,"GZ","37","37","554c","CDI","O","C","ct_9",799,"tr_4"
49831,"QB",NA,"06","526d","CDI","O","C","ct_9",1741,"tr_3"
49838,"QB","76","76","525d","CDI","O","C","ct_8",722,"tr_3"
49840,"EZ","13","13","684b","CDI","O","C","ct_9",868,"tr_3"
49842,"PZ","63","63","525b","CDI","O","C","ct_8",1820,"tr_3"
49844,"FZ","86","86","633a","CDI","O","C","ct_9",376,"tr_0"
49858,"MB","33","33","479a","CDI","O","C","ct_5",1315,"tr_6"
49864,"OZ","35","35","531a","AUT","O","C","ct_1",152,"tr_6"
49868,"FZ","69","69","621e","CDI","O","C","ct_9",1744,"tr_3"
49873,"OZ","77","75","387a","CDI","O","C","ct_4",1849,"tr_6"
49896,"FZ","95","95","382d","CDI","O","C","ct_9",1400,"tr_1"
49901,"GZ","47","47","461d","CDI","O","C","ct_9",1820,"tr_5"
49902,"GZ","94","92","388e","CDI","O","C","ct_9",1760,"tr_5"
49903,"GZ","57","68","374d","CDI","O","C","ct_9",756,"tr_1"
49907,"CL","41","45","673c","CDI","O","C","ct_9",1099,"tr_4"
49914,"KZ","13","13","467b","CDI","O","P","ct_9",910,"tr_4"
49915,"JA","35","35","544a","CDI","O","C","ct_9",1820,"tr_4"
49929,"TZ","76","76","563c","CDI","O","C",NA,560,NA
49934,"KZ","92","93","467c","CDI","O","C","ct_9",1610,"tr_4"
49935,"GZ","89","89","477a","CDI","O","C","ct_9",1092,"tr_1"
49938,"HZ","70","70","451a","CDI","O","P","ct_9",1274,"tr_3"
49945,"SZ","35","35","562b","CDI","O","C",NA,222,NA
49956,"FZ","75","75","633a","CDI","O","C","ct_9",1363,"tr_2"
49963,"OZ","89","89","461f","CDI","O","P","ct_1",728,"tr_4"
49964,"PZ","63","63","341a","CDI","O","C","ct_8",1820,"tr_3"
49967,"BZ","56","56","621g","CDI","O","C","ct_9",1344,"tr_0"
49970,"CA","34","34","628g","CDI","O","C","ct_9",1171,"tr_3"
49971,"CH","31","31","543b","CDI","O","C","ct_9",1574,"tr_1"
49987,"QA","95","95","431e","CDI","O","C","ct_9",1761,"tr_6"
49988,"CA","86","86","462c","CDI","O","P","ct_9",1293,"tr_6"
50002,"NZ","95","93","534a","CDI","O","P","ct_9",708,"tr_5"
50022,"TZ","06","06","563c","CDI","O","N","ct_7",508,"tr_0"
50024,"SZ","35","35","435b","CDI","O","P","ct_8",2051,"tr_2"
50025,"CM","95","95","624e","CDI","O","C","ct_9",1176,"tr_4"
50027,"HZ","50","50","526e","CDI","O","P","ct_9",1532,"tr_2"
50066,"NZ","25","25","684a","CDI","O","C","ct_9",1729,"tr_5"
50075,"QB","86","86","563b","CDI","O","P","ct_8",1554,"tr_3"
50076,"OZ","70","70","524c","CDI","O","P","ct_2",546,"tr_1"
50084,"MA","03","63","543b","CDI","O","P","ct_8",970,"tr_4"
50086,"PZ","75","75","543g","CDI","O","P","ct_9",808,"tr_1"
50092,"QB","78","78","526d","CDI","O","C","ct_8",1710,"tr_4"
50101,"GZ","24","24","551a","CDI","O","C","ct_9",1783,"tr_6"
50105,"FZ","94","91","621b","CDI","O","C",NA,152,NA
50112,"CA","85","85","676a","CDI","O","C","ct_9",961,"tr_1"
50113,"IZ","33","33","561f","TTP","O","C",NA,257,NA
50125,"OZ","72","72","621f","CDI","O","P",NA,312,NA
50128,"QB","59","59","526d","CDI","O","P","ct_8",910,"tr_4"
50129,"IZ","62","62","461e","CDI","O","C","ct_9",1631,"tr_6"
50137,"GZ","35","35","433d","CDI","O","C","ct_9",1517,"tr_1"
50153,"HZ","95","95","543b","CDI","O","C","ct_9",2147,"tr_2"
50156,"MA","71","71","461d","CDI","O","P","ct_9",1612,"tr_1"
50164,"JB","29","22","477a","CDI","O","C","ct_9",1323,"tr_6"
50174,"HZ","77","77","676c","CDI","O","C","ct_9",1712,"tr_3"
50180,"QB","93","93","526a","CDI","O","P","ct_8",911,"tr_2"
50186,"QA","69","69","526b","CDI","O","C","ct_6",1595,"tr_1"
50203,"FZ","27","27","632a","CDI","O","C","ct_9",1121,"tr_1"
50209,"CM","39","39","676c","CDI","O","C","ct_9",1989,"tr_2"
50217,"TZ","42","42","563c","CDI","O","N",NA,163,NA
50236,"SZ","35","35","435b","CDI","O","P","ct_8",2051,"tr_2"
50260,"QB","62","62","563b","CDI","O","P","ct_9",1473,"tr_5"
50264,"IZ","33","33","636d","CDI","O","P","ct_9",640,"tr_1"
50297,"NZ","06","06","684a","CDI","O","C","ct_9",1061,"tr_1"
50308,"KZ","83","83","467b","CDI","O","P","ct_9",921,"tr_5"
50311,"LZ","51","51","543f","CDI","O","C","ct_5",1820,"tr_4"
50326,"HZ","31","31","479b","CDI","O","C","ct_9",1519,"tr_6"
50338,"PZ","01","71","421b","CDI","O","C","ct_8",1820,"tr_2"
50354,"TZ","69","38","563a","CDI","O","N","ct_7",1015,"tr_1"
50370,"OZ","86","86","333f","CDI","O","C","ct_2",1820,"tr_6"
50388,"CK","80","80","673c","CDI","O","P","ct_9",733,"tr_4"
50392,"OZ","59","59","621f","CDI","O","C",NA,232,NA
50397,"GZ","66","66","653a","CDI","O","C","ct_9",1820,"tr_4"
50403,"QB","91","91","563a","CDI","O","N","ct_7",3000,"tr_1"
50417,"CA","59","59","674c","CDI","O","C","ct_9",1830,"tr_5"
50419,"HZ","12","12","451a","CDI","O","P","ct_9",1274,"tr_4"
50441,"QB","89","89","434g","CDI","O","P","ct_8",1032,"tr_2"
50443,"MA","23","23","543b","CDI","O","C","ct_8",1813,"tr_3"
50445,"NZ","13","13","684a","CDI","O","P","ct_9",2493,"tr_6"
50446,"KZ","91","91","467a","CDI","O","C","ct_9",1497,"tr_5"
50456,"FZ","27","93","671c","CDI","O","C","ct_9",1249,"tr_1"
50467,"QB","31","31","526a","CDI","O","P","ct_8",821,"tr_0"
50476,"QB","34","34","563b","AUT","O","C","ct_2",1820,"tr_4"
50495,"QB","85","85","526a","CDI","O","P","ct_8",911,"tr_5"
50500,"QB","92","92","434a","CDI","O","C","ct_8",1820,"tr_3"
50524,"IZ","13","13","488b","CDI","O","C","ct_9",942,"tr_2"
50545,"EZ","21","21","541b","CDI","O","P","ct_9",908,"tr_3"
50576,"QA","75","75","451h","CDI","O","C","ct_9",1779,"tr_3"
50586,"JC","77","06","544a","CDI","O","C",NA,169,NA
50587,"GZ","87","87","462b","CDI","O","C","ct_9",1932,"tr_3"
50593,"AZ",NA,"84","691d","CDI","O","C",NA,182,NA
50597,"QA","37","37","526e","CDI","O","C","ct_9",1936,"tr_5"
50599,"QA","43","43","526a","CDI","O","C","ct_8",1826,"tr_4"
50606,"NZ","95","92","676a","CDI","O","P","ct_9",435,"tr_5"
50627,"QB","67","67","676e","CDI","O","C","ct_8",1365,"tr_3"
50630,"HZ","93","95","546c","CDI","O","C","ct_9",1883,"tr_5"
50635,"QA","78","78","525d","CDI","O","P","ct_3",1159,"tr_6"
50636,"QA","65","65","451h","CDI","O","P","ct_3",1512,"tr_6"
50638,"QB","75","75","621f","CDI","O","P","ct_2",929,"tr_4"
50642,"QB","26","26","525d","CDI","O","P","ct_3",1061,"tr_5"
50652,"FZ","14","14","632d","CDI","O","C","ct_9",354,"tr_0"
50654,"SZ","93","93","675a","CDI","O","C","ct_9",462,"tr_1"
50674,"QB","93","92","526c","CDI","O","P","ct_9",1060,"tr_0"
50676,"GZ","23","23","643a","CDI","O","C","ct_9",1594,"tr_1"
50677,"CG","45","45","461d","CDI","O","C","ct_9",1877,"tr_6"
50685,"CA","63","63","652a","CDI","O","P","ct_9",533,"tr_6"
50686,"QB","59","59","563a","AUT","O","C","ct_2",1820,"tr_5"
50690,"CJ","28","28","626b","CDI","O","C","ct_9",1714,"tr_6"
50709,"QB","87","87","434e","CDI","O","P","ct_8",288,"tr_4"
50712,"GZ","13","13","634c","CDI","O","C","ct_9",1820,"tr_1"
50725,"NZ","13","13","534a","CDI","O","C","ct_9",1948,"tr_6"
50728,"GZ","06","06","554a","CDI","O","C","ct_9",1512,"tr_1"
50730,"HZ","30","30","643a","CDI","O","P","ct_9",1274,"tr_4"
50734,"GZ","93","93","551a","CDI","O","C","ct_9",1820,"tr_4"
50735,"NZ","75","92","684a","CDI","O","P","ct_9",1466,"tr_6"
50736,"OZ","44","44","523b","CDI","O","C",NA,152,NA
50742,"CB","34","34","675a","CDI","O","C","ct_9",607,"tr_4"
50756,"NZ","62","62","674c","TTP","O","C","ct_9",1891,"tr_1"
50761,"QB","43","43","525d","CDI","O","C","ct_3",1860,"tr_4"
50770,"GZ",NA,NA,"486d","CDI","O","C","ct_9",1524,"tr_2"
50778,"IZ","60","60","561c","CDI","O","P","ct_9",460,"tr_1"
50789,"NZ","47","69","652a","TTP","O","C","ct_9",335,"tr_0"
50793,"GZ","17","17","643a","CDI","O","C","ct_9",1746,"tr_1"
50795,"QA","62","62","526a","CDI","O","C","ct_8",2046,"tr_5"
50814,"NZ","63","63","676c","TTP","O","C","ct_9",211,"tr_1"
50815,"QB","75","75","526d","CDI","O","P","ct_8",734,"tr_3"
50821,"MA","59","59","673c","CDI","O","C","ct_9",1504,"tr_3"
50830,"NZ","57","67","676a","CDI","O","C",NA,185,"tr_1"
50858,"GZ","13","13","433d","CDI","O","P","ct_9",1352,"tr_1"
50864,"CI","38","38","543b","CDI","O","P","ct_9",1638,"tr_6"
50865,"QB","67","67","563b","CDI","O","C",NA,778,NA
50866,"NZ","14","14","684a","CDI","O","C","ct_9",1820,"tr_6"
50873,"QB","60","60","526a","CDI","O","P","ct_8",1317,"tr_4"
50878,"GZ","37","85","463c","CDI","O","C","ct_9",1547,"tr_2"
50879,"PZ","13","13","524b","CDI","O","P",NA,163,NA
50881,"OZ","59","59","524b","CDI","O","C",NA,423,NA
50885,"GZ","44","44","542a","CDI","O","C","ct_9",1167,"tr_2"
50886,"CG","62","62","475b","CDI","O","C","ct_9",1796,"tr_6"
50889,"FZ","48","48","478c","CDI","O","C","ct_9",621,"tr_2"
50920,"PZ","74","74","421b","CDI","O","C","ct_8",1820,"tr_3"
50926,"CA","35","35","674c","CDI","O","C","ct_9",1577,"tr_5"
50936,"TZ","68","68","563c","CDI","O","N","ct_7",1243,"tr_1"
50937,"EZ","64","92","386d","CDI","O","C","ct_9",1517,"tr_5"
50940,"QB","44","44","563b","CDI","O","N","ct_7",1813,"tr_1"
50944,"NZ","13","13","641a","CDI","O","C","ct_9",1824,"tr_1"
50947,"CC","45","45","675b","CDI","O","C","ct_9",1701,"tr_3"
50951,"SZ","83","83","676a","CDI","O","C","ct_9",748,"tr_2"
50968,"PZ","93","75","684a","CDI","O","C","ct_9",848,"tr_1"
50972,"CE","94","93","475a","CDI","O","C","ct_9",1918,"tr_6"
51002,"CH","74","74","628c","CDI","O","C","ct_9",1920,"tr_3"
51008,"CH","57","57","475b","CDI","O","C","ct_9",1576,"tr_5"
51010,"GZ","59","59","373d","CDI","O","C","ct_9",1466,"tr_3"
51020,"IZ","93","75","561f","CDI","O","C","ct_9",954,"tr_6"
51022,"PZ","02","02","451g","CDI","O","C","ct_1",1820,"tr_4"
51024,"NZ","06","06","546b","CDI","O","C","ct_9",523,"tr_1"
51029,"OZ","33","33","333a","CDI","O","P","ct_1",834,"tr_5"
51038,"NZ","80","80","676c","CDI","O","C","ct_9",1157,"tr_5"
51056,"OZ","63","63","461f","CDI","O","C","ct_1",1820,"tr_3"
51070,"CI","78","92","624c","CDI","O","C","ct_9",1834,"tr_5"
51075,"SZ","10","10","331a","CDI","O","C","ct_4",1820,"tr_4"
51101,"LZ","31","31","676e","CDI","O","P","ct_9",684,"tr_1"
51104,"HZ","12","12","526e","CDI","O","C","ct_9",1890,"tr_3"
51134,"NZ","83","83","676a","CDI","O","C","ct_9",1694,"tr_4"
51140,"KZ","49","49","372b","CDI","O","C","ct_9",609,"tr_6"
51173,"MA","62","62","472b","CDI","O","C","ct_9",1468,"tr_4"
51181,"NZ","74","74","684a","CDI","O","C","ct_9",2123,"tr_2"
51184,"NZ","38","38","632g","CDI","O","C","ct_9",1953,"tr_3"
51185,"QB","60","60","526c","CDI","O","P","ct_8",877,"tr_3"
51189,"OZ","44","44","523c","AUT","O","C","ct_2",1833,"tr_4"
51191,"SZ","49","49","636d","CDI","O","C","ct_8",259,"tr_1"
51217,"QB","59","59","434d","CDI","O","C","ct_8",1820,"tr_3"
51222,"CC","01","01","676a","CDI","O","C","ct_9",1821,"tr_2"
51223,"NZ","02","51","632g","TTP","O","N","ct_9",621,"tr_1"
51235,"QB","87","87","525d","CDI","O","C","ct_8",1820,"tr_3"
51237,"HZ","24","24","451a","CDI","O","C","ct_9",1820,"tr_2"
51238,"NZ",NA,NA,"534a","CDI","O","C","ct_9",1873,"tr_2"
51250,"QA","75","93","433a","CDI","O","C","ct_9",1898,"tr_3"
51254,"CL","07","07","674d","CDI","O","P","ct_9",938,"tr_6"
51260,"MA","13","13","624d","CDI","O","C","ct_9",488,"tr_6"
51261,"CK","68","51","477b","CDI","O","C","ct_9",1854,"tr_5"
51268,"FZ","33","33","652a","CDI","O","C","ct_9",1393,"tr_1"
51331,"CL","57","57","673c","CDI","O","C","ct_9",1669,"tr_6"
51352,"JA","92","77","388b","CDI","O","C","ct_9",1820,"tr_6"
51360,"EZ","27","92","485a","CDI","O","C","ct_9",1701,"tr_2"
51363,"CK","84","84","543f","CDI","O","C","ct_9",1763,"tr_6"
51368,"QA","61","61","525d","CDI","O","C","ct_8",1810,"tr_5"
51372,"QB","94","94","563b","AUT","X","P","ct_8",635,"tr_3"
51373,"QB","85","85","563b","CDI","O","N","ct_7",651,"tr_1"
51387,"NZ","82","82","684a","CDI","O","C",NA,346,"tr_1"
51389,"HZ","47","82","641b","CDI","O","C","ct_9",1907,"tr_3"
51405,"KZ","67","68","676c","CDI","O","N","ct_5",1064,"tr_3"
51418,"QB","69","69","461c","CDI","O","C","ct_9",1783,"tr_4"
51421,"GZ","49","49","691d","TOA","O","C","ct_9",734,"tr_2"
51424,"GZ","92","75","554g","CDI","O","C","ct_9",803,"tr_1"
51433,"GZ","74","74","552a","CDI","O","C","ct_9",2184,"tr_1"
51435,"QA","63","63","636d","CDI","O","C","ct_8",1820,"tr_4"
51442,"FZ","16","16","543b","CDI","O","P","ct_9",1308,"tr_1"
51446,"QA","91","91","432d","CDI","O","C","ct_8",2195,"tr_3"
51464,"QB","30","30","431a","CDI","O","C","ct_8",1444,"tr_4"
51475,"QB","38","38","563a","CDI","O","N","ct_7",3000,"tr_1"
51478,"MB","91","91","342g","CDI","O","C","ct_5",2057,"tr_6"
51484,"MC","30","30","676a","CDI","O","C","ct_9",1621,"tr_5"
51504,"QB","62","62","461b","AUT","X","C","ct_9",455,"tr_1"
51529,"HZ","34","34","643a","CDI","O","C","ct_9",1858,"tr_2"
51541,"OZ","17","17","543h","CDD","O","C","ct_8",317,"tr_6"
51549,"NZ","33","33","676a","CDI","O","C","ct_9",1740,"tr_5"
51557,"QB","25","25","563b","CDI","O","C",NA,260,NA
51581,"LZ","69","69","684a","CDD","O","P","ct_9",319,"tr_1"
51586,"GZ","93","93","551a","CDI","O","P","ct_9",1305,"tr_6"
51594,"CA","15","15","674c","CDI","O","C","ct_9",1383,"tr_4"
51613,"GZ","85","85","676c","CDI","O","C","ct_9",1938,"tr_2"
51617,"QA","29","29","563b","CDD","O","P","ct_8",1310,"tr_4"
51621,"QB","68","68","563a","CDI","O","N","ct_7",882,"tr_1"
51622,"FZ","07","07","672a","CDI","O","C","ct_9",1370,"tr_5"
51623,"NZ","19","19","431f","CDI","O","C",NA,181,"tr_0"
51630,"QB","95","95","563a","CDI","O","N","ct_7",3000,"tr_1"
51633,"OZ","82","82","523c","AUT","O","C","ct_2",1820,"tr_6"
51634,"OZ","33","33","542a","CDI","O","C","ct_8",1586,"tr_6"
51646,"CM","69","69","385c","CDI","O","C","ct_9",1924,"tr_5"
51653,"QA","2B","2B","526e","CDI","O","C","ct_9",2028,"tr_1"
51665,"MA","57","57","423b","CDI","O","C","ct_9",1738,"tr_2"
51669,"HZ","13","13","481b","CDI","O","C","ct_5",1820,"tr_6"
51677,"GZ","69","69","556a","CDI","O","C","ct_9",1854,"tr_1"
51679,"PZ","45","45","525a","CDI","O","P","ct_8",1684,"tr_3"
51695,"GZ","40","40","542a","CDI","O","C","ct_9",1528,"tr_6"
51700,"GZ","91","91","344d","CDI","O","P","ct_6",600,"tr_1"
51702,"KZ","34","34","376b","CDI","O","C","ct_9",1820,"tr_6"
51706,"OZ","46","46","524b","CDI","O","P","ct_1",1456,"tr_1"
51707,"CE","27","14","628g","CDI","O","C","ct_9",1857,"tr_5"
51721,"FZ","58","58","621c","CDI","O","C","ct_9",892,"tr_1"
51732,"OZ",NA,NA,"525a","CDI","O","P","ct_2",1421,"tr_6"
51749,"CF","69","69","628g","CDI","O","C","ct_9",1785,"tr_6"
51775,"GZ","91","91","543b","CDI","O","C","ct_9",1964,"tr_5"
51786,"OZ","33","33","621f","AUT","O","C","ct_2",1820,"tr_6"
51790,"QB","21","21","431f","CDI","O","P","ct_3",1048,"tr_3"
51794,"QB","69","69","526c","CDI","O","C","ct_8",1419,"tr_2"
51800,"QB","53","61","526a","CDI","O","C","ct_8",1820,"tr_4"
51801,"FZ","37","37","477a","CDI","O","C","ct_9",698,"tr_5"
51812,"CB","30","30","627b","CDI","O","P","ct_9",807,"tr_6"
51817,"CC","95","77","627f","CDI","O","C","ct_9",1770,"tr_3"
51820,"IZ","78","78","561d","CDI","O","P","ct_9",1255,"tr_1"
51822,"OZ","87","75","464b","CDI","O","P",NA,178,NA
51828,"OZ","62","62","524c","AUT","X","P","ct_2",173,"tr_3"
51838,"MA","95","95","653a","CDI","O","C","ct_9",1550,"tr_5"
51844,"CH","08","08","475b","CDI","O","C","ct_9",1867,"tr_6"
51864,"NZ","94","75","632a","TTP","O","C","ct_9",918,"tr_1"
51873,"QB","68","68","525d","CDI","O","C","ct_8",1834,"tr_6"
51884,"GZ","68","68","554c","CDI","O","C","ct_9",1847,"tr_5"
51896,"OZ","44","44","451g","CDI","O","P","ct_2",1455,"tr_6"
51921,"CE","61","61","652a","CDI","O","C","ct_9",1522,"tr_4"
51922,"KZ","38","38","526b","CDI","O","C","ct_9",1561,"tr_1"
51925,"QB","14","14","563b","CDI","O","P",NA,652,NA
51936,"QB","69","69","563a","CDI","O","N","ct_7",3000,"tr_1"
51944,"CB","81","81","675a","CDD","O","C","ct_9",990,"tr_5"
51953,"OZ","75","75","523b","CDI","O","C",NA,152,NA
51963,"QA","75","75","451h","CDI","O","P","ct_8",764,"tr_6"
51973,"QB","71","71","676a","AUT","X","P","ct_8",739,"tr_3"
51975,"IZ","93","77","676c","CDI","O","C","ct_9",577,"tr_6"
51989,"QB","78","78","526a","CDI","O","C","ct_8",1826,"tr_6"
51990,"QA","09","09","684a","CDI","O","C",NA,1569,NA
52002,"QA","67","67","433a","CDI","O","C","ct_9",1778,"tr_2"
52011,"CA","83","83","636c","CDI","O","P","ct_6",1138,"tr_1"
52019,"GZ","78","75","542a","CDI","O","C","ct_9",1091,"tr_1"
52024,"PZ","27","27","423a","CDI","O","P","ct_9",566,"tr_1"
52028,"FZ","59","59","632g","CDI","O","C","ct_9",579,"tr_3"
52043,"NZ","39","39","684a","CDI","O","P","ct_9",749,"tr_4"
52053,"NZ","34","34","542a","CDI","O","P","ct_9",865,"tr_1"
52055,"QA","92","92","431f","CDI","O","C",NA,363,NA
52061,"IZ","44","44","435a","CDI","O","C","ct_8",1787,"tr_1"
52068,"MC","37","37","643a","CDI","O","C",NA,130,NA
52071,"FZ","06","06","637b","CDI","O","C","ct_9",1673,"tr_1"
52075,"GZ","66","66","554g","CDI","O","P","ct_9",1341,"tr_2"
